Number of iterations;200;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1135.2744500000001;1077.5544048249708;309.6973;1.904792362593033
1;Truthful;1181.6357;1099.2581224255348;321.46955;1.7849682662326074
2;Truthful;1220.6933999999999;1209.7171800257454;309.81575;1.6829613273961268
3;Truthful;1345.2281;1074.133314355062;389.11895000000004;2.1288417645776168
4;Truthful;1226.56395;1087.446550668076;324.5374;1.7722709561974443
5;Seller;6109.395600000001;1499.9841546155203;0;0
