Number of iterations;200;;;;
Reserve;25;;;;
Seed;2;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1090.0420987287264;938.7671434897052;563.6655012712735;3.083644288518637
1;PiratesBB;1097.299291647714;876.2400930639816;541.8280083522858;2.7935930960398627
2;PiratesBB;1000.6425961310808;841.1139395021435;522.7634038689192;2.720258475032492
3;PiratesBB;1048.1457249991722;828.5226291477916;487.5345750008278;2.690473064464454
4;PiratesBB;955.9136179927938;775.4062680407367;553.5247820072063;2.9946563670654496
5;Seller;5192.043329499487;1395.197100464927;0;0
