Number of iterations;200;;;;
Reserve;0;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1051.5596695122235;869.3989329058635;550.3121304877764;3.017633974179053
1;PiratesBB;1097.283693344164;900.7267151822373;495.85045665583607;2.6019675366482646
2;PiratesBB;1095.8092700679779;890.7700606620857;545.0458299320221;2.7990483123092567
3;PiratesBB;1075.8873204901856;945.0932830138158;441.5520795098143;2.396050777824962
4;PiratesBB;1099.0150252255723;837.1349771463073;577.7954747744277;2.848406260842159
5;Seller;5419.5549786401225;1500.331967845816;0;0
