Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1270.7481400000001;1147.0456324336633;313.89226;0.7367572695760592
1;Truthful;1214.06848;1163.9323215215259;319.25834000000003;0.7386419933609104
2;Truthful;1225.92054;1104.7344897606424;328.98235999999997;0.7738249480972563
3;Truthful;1277.7191799999998;1096.7655446919948;336.50952;0.7375948053368317
4;Truthful;1301.5518200000001;1140.2762203347434;334.02242;0.7989761935986425
5;Seller;6290.00816;1538.4310305907825;0;0
