Number of iterations;200;;;;
Reserve;85;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;943.8332700046808;1005.9408393508045;408.92392999531927;2.972794060997023
1;PiratesBB;788.3831757124337;963.2011101324575;276.68892428756635;2.3999248140602174
2;PiratesBB;776.248385639262;968.6576954436881;273.5226143607381;2.2379494338083963
3;PiratesBB;684.305435155154;912.5925224194735;204.05926484484604;1.9873848743059666
4;PiratesBB;740.6448498466492;879.1312404584891;282.82725015335086;2.3743690538457565
5;Seller;3933.4151163581796;2192.4585782949416;0;0
