Number of iterations;200;;;;
Reserve;5;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1116.2790220015736;860.9289558141978;645.6078279984264;3.2434926961465957
1;PiratesBB;1053.2115370791578;898.9216813249751;519.1238129208423;2.77768719576272
2;PiratesBB;1030.7131334073183;961.5410040524237;512.5245165926815;2.676309551201851
3;PiratesBB;1107.0107966198077;858.9411796168542;546.9860033801923;2.8758466146955275
4;PiratesBB;1019.7317326393484;876.4536826699003;457.5196173606517;2.343832928897893
5;Seller;5326.946221747206;1437.5465555234778;0;0
