Number of iterations;200;;;;
Reserve;100;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;673.0389688205719;975.1413264144637;190.60383117942808;1.9076094397715686
1;PiratesBB;765.2591621520934;1035.7398142122247;177.75513784790672;1.6881826123128303
2;PiratesBB;864.1875785619736;1047.417287362661;247.16317143802644;1.9164872901628789
3;PiratesBB;771.0689822891235;971.0890600255722;182.50451771087646;1.6738615264115426
4;PiratesBB;808.7504828460693;1025.4835511045148;233.54501715393067;2.0188407388563347
5;Seller;3882.305174669832;2243.8868652390524;0;0
