Number of iterations;200;;;;
Reserve;155;;;;
Seed;5;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;279.732;884.4845360157514;15.627250000000002;0.2973456530259644
1;PiratesBB;185.9856;679.9459183491292;12.9274;0.272323875616884
2;PiratesBB;230.47665730609893;752.778786967874;13.638192693901063;0.2761314239449093
3;PiratesBB;334.44335;958.0885236768474;23.145750000000003;0.3934509569005247
4;PiratesBB;231.55805;798.2195847933675;16.416600000000003;0.3280426574563134
5;Seller;1262.1956573060988;1793.0072627575023;0;0
