Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1024.6370148049011;818.8854288683812;593.7389851950991;1.2950212406435735
1;PiratesBB;989.5766048925202;874.2951178659087;521.6616351074799;1.1033185061994852
2;PiratesBB;1041.372879385948;909.6817631539737;495.72066061405195;1.0489167164830455
3;PiratesBB;1028.6111218790472;911.7847857799758;513.7774581209529;1.1117105103961031
4;PiratesBB;1013.2385604812602;809.7505617509672;604.7672795187399;1.2228703118764073
5;Seller;5097.436181443677;1556.45300044599;0;0
