Number of iterations;200;;;;
Reserve;115;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;714.2776835044712;1116.3511927553952;177.70246649552882;1.8370914785748502
1;PiratesBB;373.6700366760254;807.5913548587321;84.07511332397462;1.1561484471085839
2;PiratesBB;566.3739060195446;962.2988049814207;120.85529398045541;1.3656608483683699
3;PiratesBB;678.6130792445966;1091.098069646082;143.1318707554035;1.4923754630149317
4;PiratesBB;563.0006434204101;952.3510293142393;118.73670657958985;1.441311561597333
5;Seller;2895.9353488650477;2122.7620286331953;0;0
