Number of iterations;200;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1256.2989;1152.7616943778064;372.84955;2.1298836985226313
1;Truthful;1210.6682;1147.1081275977263;317.85615;1.9357503553963087
2;Truthful;1298.95385;1133.5313212323158;339.19505;1.9571992064043806
3;Truthful;1261.1480000000001;1097.7163276156557;368.2743;2.031713645198987
4;Truthful;1180.7240000000002;1118.7125412410455;329.7461;1.7816478130496918
5;Seller;6207.792950000001;1457.1719888756431;0;0
