Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1303.72868;1151.457110414565;341.34078000000005;0.8117822906252422
1;Truthful;1279.0459799999999;1141.7438322324497;346.70684;0.7667620780398938
2;Truthful;1187.26666;1146.5459656731805;282.94824;0.6985603844630821
3;Truthful;1321.79548;1137.234472335749;340.85408;0.7485239555588153
4;Truthful;1304.16414;1145.7101696133536;327.48364000000004;0.7185987899938336
5;Seller;6396.000940000001;1438.3123685641162;0;0
