Number of iterations;200;;;;
Reserve;25;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1099.5628948747062;873.5111316847691;562.8830551252939;3.1493848180689823
1;PiratesBB;995.6337273592167;839.0756713856775;536.3044226407834;2.7043560901210624
2;PiratesBB;1041.8757544103623;943.1691086212367;473.47699558963774;2.71447932059852
3;PiratesBB;1130.379616736269;959.1029612864685;525.937333263731;2.736444889882518
4;PiratesBB;1001.2666163892509;784.2204026091757;535.2893336107493;2.591315994241012
5;Seller;5268.718609769806;1529.643762374276;0;0
