Number of iterations;200;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1177.07465;1076.959648909317;285.1567;1.8749832228323402
1;Truthful;1274.5402000000001;1166.9083445695117;385.87055;2.2592214846889025
2;Truthful;1272.99225;1196.6883537502297;351.24035000000003;2.100018424790466
3;Truthful;1198.96965;1096.952440533489;277.7491;1.6209893682423537
4;Truthful;1232.6394500000001;1030.9821642337945;379.26020000000005;2.0871142667865605
5;Seller;6156.2162;1550.9159948116337;0;0
