Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1242.07626;1124.521463711302;325.35176;0.698334545596313
1;Truthful;1183.64;1117.5882664008243;323.57804;0.7675643020009677
2;Truthful;1260.6407199999999;1155.772370984476;299.38682;0.7163468629464
3;Truthful;1212.7209;1109.0066788306497;355.01884;0.8350730059750565
4;Truthful;1337.7127;1150.849514143232;373.47434000000004;0.7698621625058981
5;Seller;6236.79058;1493.6511706768295;0;0
