Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1115.5856871504582;871.4683058578058;637.064772849542;1.3209315318023422
1;PiratesBB;1016.5865202982819;919.3794128036704;468.296459701718;1.0365239788320466
2;PiratesBB;1101.3121895599268;909.7424852826883;531.0561104400732;1.1012357480502855
3;PiratesBB;1058.4357657092492;907.2120608621728;482.53855429075094;1.0604729570371583
4;PiratesBB;1011.3100292804276;865.8938898707587;488.28065071957246;1.095235106923253
5;Seller;5303.230191998345;1601.163389244041;0;0
