Number of iterations;20;;;;
Reserve;50;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1269.982;1139.686938196626;187.661;10.769061003518365
1;Truthful;877.8955;910.1627451531677;144.882;10.06141405891836
2;Truthful;1247.8475;1153.2855679833813;121.28450000000001;7.589817243311924
3;Truthful;810.25;1123.3581037451947;58.0305;3.7937700031597856
4;Truthful;938.6015;892.7974379010896;116.505;7.550799069469403
5;Truthful;843.077;1156.673548798882;97.60900000000001;6.888558323227002
6;Truthful;899.5604999999999;1116.985110932438;116.128;12.497918997377123
7;Truthful;561.402;555.5385326653769;71.36850000000001;6.252486815809769
8;Truthful;1278.3085;1291.6403062241243;163.458;14.666012038553628
9;Truthful;1183.2715;1162.4285549154192;95.75500000000001;4.480124279805194
10;Seller;9910.196;1475.4013041860849;0;0
