Number of iterations;200;;;;
Reserve;160;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;287.60085;908.1691015894455;16.8446;0.3105294229151242
1;PiratesBB;173.862;682.4781451123528;7.8896500000000005;0.18401215478722446
2;PiratesBB;227.7767;789.5964029269071;9.2098;0.18353983572783286
3;PiratesBB;211.29805;769.3617289849417;11.435;0.22844938241326024
4;PiratesBB;269.86775;863.9773587441041;13.34585;0.2653403793845505
5;Seller;1170.40535;1761.7543914362407;0;0
