Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1035.472690432683;873.597743770211;578.469909567317;1.2589587686839576
1;PiratesBB;1027.7680430675164;882.8503701661045;545.0516369324837;1.1169241811309583
2;PiratesBB;1064.429554721175;900.8877094067694;547.648145278825;1.1650788427149936
3;PiratesBB;1140.9275205923175;943.571068196218;490.93197940768243;1.0731616125024661
4;PiratesBB;1060.6623066863935;845.5874094900439;539.4686133136065;1.1697527120593423
5;Seller;5329.260115500086;1545.4215233053146;0;0
