Number of iterations;200;;;;
Reserve;0;;;;
Seed;1;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;963.0857787481863;790.1124797683659;539.7154212518137;3.088958013127635
1;PiratesBB;1002.0667351978218;850.9559764677738;519.5631648021783;2.7611616950267845
2;PiratesBB;1010.0515417492348;967.5174053833101;480.6504082507652;2.5170158570036474
3;PiratesBB;1079.7850279815023;815.998228998283;582.9565720184978;3.002056856550116
4;PiratesBB;983.5245120365306;822.9428465935963;511.2271879634693;2.658043852562372
5;Seller;5038.513595713276;1503.8889745515535;0;0

Number of iterations;200;;;;
Reserve;0;;;;
Seed;2;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1050.82213425644;880.0518981046421;636.7263657435601;3.364008041075482
1;PiratesBB;974.2737370065532;863.5495193022078;527.6601629934469;3.008031474312513
2;PiratesBB;1050.1670459815955;879.0398858657085;552.1547540184046;2.742562842627366
3;PiratesBB;1062.7924147043957;881.5301901973771;562.0395852956043;2.777612413480642
4;PiratesBB;939.3908669982034;797.7757387518474;500.25058300179654;2.5776504177098336
5;Seller;5077.446198947188;1495.3347422910365;0;0

Number of iterations;200;;;;
Reserve;0;;;;
Seed;3;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;981.9022270893486;846.2853454297759;533.7675229106513;2.950047223401198
1;PiratesBB;1079.3103711436572;937.739829177506;586.3183788563429;2.9794774159044395
2;PiratesBB;1032.4138502510928;944.4066024602724;547.8132497489073;2.769205286471053
3;PiratesBB;1016.0526742309961;890.5685668337062;426.6812757690041;2.3606855241860414
4;PiratesBB;1040.7700630170964;835.6087859487736;531.5848869829036;2.802875705805273
5;Seller;5150.449185732191;1546.898075412308;0;0

Number of iterations;200;;;;
Reserve;0;;;;
Seed;4;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1104.6087352596335;788.356486952333;639.3481647403667;3.192033243631768
1;PiratesBB;996.6130725131854;901.8935860857591;542.0497274868146;2.8289225468839976
2;PiratesBB;1032.97993998861;900.5958462899781;545.1390600113899;2.856118668266384
3;PiratesBB;1088.3180532900044;868.455048941439;519.8436967099957;2.6618265226621536
4;PiratesBB;966.077609099102;868.4075963718999;525.9354409008979;2.8716457909274977
5;Seller;5188.597410150535;1447.1893598618842;0;0

Number of iterations;200;;;;
Reserve;0;;;;
Seed;5;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1051.2799391076815;811.7261292624478;579.5632108923184;3.0768136815681193
1;PiratesBB;1038.5983803614333;895.7456170150314;547.7868696385668;2.9728278000618276
2;PiratesBB;1075.501642716286;984.1228649544482;502.04500728371414;2.7892098828317615
3;PiratesBB;1115.087598773478;909.0833580034782;529.821351226522;2.8558619225986797
4;PiratesBB;1011.9612170665989;802.8375663774455;538.6875829334011;2.9375874606377175
5;Seller;5292.428778025478;1572.245027379586;0;0

Number of iterations;200;;;;
Reserve;5;;;;
Seed;1;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;963.0857787481863;790.1124797683659;539.7154212518137;3.088958013127635
1;PiratesBB;1002.0667351978218;850.9559764677738;519.5631648021783;2.7611616950267845
2;PiratesBB;1010.0515417492348;967.5174053833101;480.6504082507652;2.5170158570036474
3;PiratesBB;1079.7850279815023;815.998228998283;582.9565720184978;3.002056856550116
4;PiratesBB;983.5245120365306;822.9428465935963;511.2271879634693;2.658043852562372
5;Seller;5038.513595713276;1503.8889745515535;0;0

Number of iterations;200;;;;
Reserve;5;;;;
Seed;2;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1050.82213425644;880.0518981046421;636.7263657435601;3.364008041075482
1;PiratesBB;974.2737370065532;863.5495193022078;527.6601629934469;3.008031474312513
2;PiratesBB;1050.1670459815955;879.0398858657085;552.1547540184046;2.742562842627366
3;PiratesBB;1062.7924147043957;881.5301901973771;562.0395852956043;2.777612413480642
4;PiratesBB;939.3908669982034;797.7757387518474;500.25058300179654;2.5776504177098336
5;Seller;5077.446198947188;1495.3347422910365;0;0

Number of iterations;200;;;;
Reserve;5;;;;
Seed;3;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;981.9022270893486;846.2853454297759;533.7675229106513;2.950047223401198
