Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1107.7116690181085;881.3816647424682;601.9963709818916;1.3150703740160876
1;PiratesBB;1045.8239884736424;892.7257317603439;556.2867915263575;1.1295609092689132
2;PiratesBB;992.650598518734;908.9552104099939;458.540741481266;1.0249374944782124
3;PiratesBB;1097.1635808629687;899.7298772491081;532.4270991370315;1.1025739455283432
4;PiratesBB;1030.9107220064188;822.0553189549286;532.2253979935813;1.1314791498263768
5;Seller;5274.2605588798715;1539.7742544908137;0;0
