Number of iterations;200;;;;
Reserve;50;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1010.0596523147058;849.1876170362385;582.9789476852943;3.2618373966003675
1;PiratesBB;985.018779130586;901.8956592110567;489.2162708694139;3.0139884034600475
2;PiratesBB;1007.2565182915138;930.7708460318415;476.6000817084862;2.813501916573116
3;PiratesBB;995.1394903088153;953.4628830189304;458.3045096911848;2.837794798416417
4;PiratesBB;924.2776858846784;808.4157020863852;502.5785641153216;3.2126666667537105
5;Seller;4921.752125930299;1747.9357580838473;0;0
