Number of iterations;200;;;;
Reserve;165;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;129.57025;633.6360942823865;5.80515;0.16153927200355195
1;PiratesBB;99.11775;557.8345062807055;4.0425;0.12677348340149844
2;PiratesBB;68.03775;460.34213367606964;1.8062;0.075594207046572
3;PiratesBB;92.96925000000002;558.9120089888353;3.0869999999999997;0.11860422146787225
4;PiratesBB;199.70825000000002;822.204528064301;4.4625;0.1164091542523611
5;Seller;589.40325;1377.3210754221154;0;0
