Number of iterations;200;;;;
Reserve;45;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1028.8932357618455;901.9683703265173;580.0491642381545;3.3546526723916474
1;PiratesBB;977.4322841042983;884.9909062367005;455.43426589570174;2.6306287182281265
2;PiratesBB;1137.3650653022767;886.4039393781666;568.5264846977234;2.765535482196321
3;PiratesBB;1078.2771365640724;962.9707359467642;454.04996343592757;2.677240177963388
4;PiratesBB;1001.9783264139176;851.9962328985273;490.9805235860825;2.8527217988731604
5;Seller;5223.94604814641;1658.5751361933067;0;0
