Number of iterations;200;;;;
Reserve;35;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1073.4932717209376;889.5388070315379;615.5631782790625;3.473602959477651
1;PiratesBB;961.1130864068541;874.0860843188551;448.4044635931459;2.5554028512401414
2;PiratesBB;1082.0577932810183;925.9666605717714;519.6180567189817;2.626772006488595
3;PiratesBB;1022.6236680250257;890.1409205888606;512.4701819749743;2.667937211054278
4;PiratesBB;1015.3662424549386;835.6353163488072;549.0543075450614;3.075374245059842
5;Seller;5154.654061888774;1594.2024311128155;0;0
