Number of iterations;200;;;;
Reserve;105;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;865.0261963617126;1073.4673218915593;253.45320363828745;2.25144472354561
1;PiratesBB;661.1014031589096;979.0613527896386;163.05399684109042;1.624970695343678
2;PiratesBB;613.0047424782626;990.2766288806434;123.5096075217374;1.36227920203993
3;PiratesBB;896.1889228312829;1091.008218015246;215.95097716871717;1.8425856184242122
4;PiratesBB;666.9916243927001;1034.0800502284671;182.62337560729983;1.8433303457565997
5;Seller;3702.312889222868;2197.8736729588163;0;0
