Number of iterations;200;;;;
Reserve;15;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1118.4583712537035;808.1943995185293;728.8209787462966;3.731290000370521
1;PiratesBB;911.162591014614;796.8558963951947;513.920808985386;2.7584600128615993
2;PiratesBB;977.1758426143866;908.8428343838398;447.0444073856135;2.607077549343481
3;PiratesBB;1073.3831069540568;967.2011259126342;489.975993045943;2.8276659510725994
4;PiratesBB;980.4271658818584;760.9884952553707;566.7232841181417;2.8506107860935237
5;Seller;5060.607077718619;1582.805531601718;0;0
