Number of iterations;200;;;;
Reserve;170;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;100.2915;587.2956638506273;1.72725;0.06163457226620059
1;PiratesBB;140.488;669.9124114807825;2.2997;0.06003605373231993
2;PiratesBB;109.78995;568.518325807972;1.7721;0.04608857385242021
3;PiratesBB;81.59150000000001;539.5663820863479;0.9872500000000001;0.04656213481400428
4;PiratesBB;56.924499999999995;416.32222454458304;0.8026000000000001;0.027255782065462673
5;Seller;489.08545;1195.9016620603888;0;0
