Number of iterations;1;;;;
Reserve;0;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;829.0;0.0;413.3;0.0
1;Truthful;307.77;0.0;367.19;0.0
2;Truthful;0.0;0.0;0.0;0.0
3;Truthful;182.52;0.0;200.18;0.0
4;Truthful;100.15;0.0;144.57;0.0
5;Truthful;2835.76;0.0;1316.24;0.0
6;Truthful;524.85;0.0;391.12;0.0
7;Truthful;1248.94;0.0;603.3000000000001;0.0
8;Truthful;1870.6000000000001;0.0;1096.16;0.0
9;Truthful;72.60000000000001;0.0;14.52;0.0
10;Seller;7972.1900000000005;0.0;0;0
