Number of iterations;200;;;;
Reserve;10;;;;
Seed;1;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;963.0857787481863;790.1124797683659;539.7154212518137;3.088958013127635
1;PiratesBB;1002.0667351978218;850.9559764677738;519.5631648021783;2.7611616950267845
2;PiratesBB;1010.0515417492348;967.5174053833101;480.6504082507652;2.5170158570036474
3;PiratesBB;1079.7850279815023;815.998228998283;582.9565720184978;3.002056856550116
4;PiratesBB;983.5245120365306;822.9428465935963;511.2271879634693;2.658043852562372
5;Seller;5038.513595713276;1503.8889745515535;0;0
