Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1065.697137110007;870.1274457044344;580.4307228899931;1.2722896376413804
1;PiratesBB;1003.3553380809958;921.5730109680401;518.0795419190042;1.0945064505251416
2;PiratesBB;1013.0413370803625;881.19639128159;518.3688829196376;1.0976114973775402
3;PiratesBB;1078.577236006516;887.7877528996848;502.0601839934839;1.069176961896421
4;PiratesBB;1022.395539606782;850.7263623627956;543.0004403932179;1.2515517165635535
5;Seller;5183.066587884663;1649.8265008970377;0;0
