Number of iterations;200;;;;
Reserve;75;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;858.9575315942943;889.5869733464419;438.2690184057057;3.2823312585068067
1;PiratesBB;911.2714244117738;1005.9318638893387;298.56012558822636;2.318671605116911
2;PiratesBB;915.9286711051941;1048.6709116834747;305.6493788948059;2.30879107344255
3;PiratesBB;1005.8556430533051;985.0972870465946;346.7505069466949;2.3964920493810933
4;PiratesBB;937.0332093139649;947.2170058523752;394.51254068603515;2.8426597500422264
5;Seller;4629.046479478532;2214.509344029201;0;0
