Number of iterations;200;;;;
Reserve;80;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1043.815841813834;1014.9883503418461;375.312958186166;2.561974001545208
1;PiratesBB;780.552359924841;992.7448338947125;256.0347900751591;2.209307031115195
2;PiratesBB;917.3238864899092;1018.3513143184496;261.74091351009093;1.9823759859313435
3;PiratesBB;1006.9846188341066;978.1466089967558;345.6384811658934;2.420885094213303
4;PiratesBB;800.0781217941284;928.0698770353337;272.2306782058716;2.2612751071811417
5;Seller;4548.75482885682;2280.297159682058;0;0
