Number of iterations;200;;;;
Reserve;40;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1036.3166273849927;843.967131582794;653.2795226150072;3.4627234609537254
1;PiratesBB;1017.0187391627919;839.0548755985197;553.221260837208;2.8692562529890764
2;PiratesBB;936.4338688166073;887.0438143712704;445.9625311833928;2.486118107845448
3;PiratesBB;1036.5522861974873;961.0774568559928;467.71971380251256;2.734195977483907
4;PiratesBB;973.2816434918402;838.1178673899899;487.9283565081597;2.8393898662026413
5;Seller;4999.60316505372;1704.8979022667156;0;0
