Number of iterations;200;;;;
Reserve;145;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;516.73335;1090.3613639093592;58.3102;0.7766520311078834
1;PiratesBB;281.55025;766.2836167082249;24.141;0.39648134284604114
2;PiratesBB;179.147759939903;630.8234705091991;13.58334006009698;0.2802784687692538
3;PiratesBB;306.6592311737061;878.052017590968;30.008318826293944;0.5297046030911026
4;PiratesBB;312.52475000000004;878.0692632241147;39.19305;0.6687403015408434
5;Seller;1596.615341113609;1790.573030625676;0;0
