Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1211.7316400000002;1128.9716487560302;325.77188;0.7250231304052736
1;Truthful;1226.9413800000002;1138.56234383063;343.0876;0.7707178455176437
2;Truthful;1309.97244;1141.1808102004027;344.34282;0.8181219562853632
3;Truthful;1363.74864;1169.183412220577;305.88926000000004;0.7519762249977124
4;Truthful;1336.53972;1154.374063651953;341.7001;0.8366238127975809
5;Seller;6448.93382;1469.3949933336535;0;0
