Number of iterations;200;;;;
Reserve;60;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;944.1429380541294;930.7360144312527;413.4794619458705;2.789364742128218
1;PiratesBB;974.6404572501551;956.7000643642951;399.23114274984493;2.581735569851418
2;PiratesBB;1054.6774578682443;949.9527948591359;432.75904213175585;2.6032024352740435
3;PiratesBB;1036.0408845754534;877.4476093173023;429.1873654245465;2.51898103498225
4;PiratesBB;971.4930716996573;880.5343108067752;428.66517830034275;2.957326119074712
5;Seller;4980.99480944764;1816.8145000294203;0;0
