Number of iterations;200;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1051.2799391076815;811.7261292624478;579.5632108923184;3.0768136815681193
1;PiratesBB;1038.5983803614333;895.7456170150314;547.7868696385668;2.9728278000618276
2;PiratesBB;1075.501642716286;984.1228649544482;502.04500728371414;2.7892098828317615
3;PiratesBB;1115.087598773478;909.0833580034782;529.821351226522;2.8558619225986797
4;PiratesBB;1011.9612170665989;802.8375663774455;538.6875829334011;2.9375874606377175
5;Seller;5292.428778025478;1572.245027379586;0;0
