Number of iterations;500;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1317.6262;1137.1545805257792;359.95664;0.8098160431246361
1;Truthful;1202.2479799999999;1120.8100482899492;289.91512;0.6877965961910123
2;Truthful;1300.7806400000002;1104.249969993204;348.70168;0.8148992380950609
3;Truthful;1270.94262;1142.5944975362584;320.19024;0.7318606723029805
4;Truthful;1267.03668;1127.7101731108833;312.76276;0.7315829405752498
5;Seller;6358.634120000001;1465.4351665581885;0;0
