Number of iterations;200;;;;
Reserve;65;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1022.8503127536297;925.5569457518749;486.1318872463703;3.2650840296101875
1;PiratesBB;961.0759092131078;897.9629378813021;383.19344078689215;2.4181665022302163
2;PiratesBB;1008.9256679160983;930.8655346432325;459.14973208390177;2.8155034044130525
3;PiratesBB;976.3051211192258;953.8502242064715;425.24057888077425;2.7777413004044598
4;PiratesBB;911.7202038541124;958.6339914517612;386.96729614588764;2.527024478285383
5;Seller;4880.877214856174;1909.7589782408552;0;0
