Number of iterations;200;-;-;-;-
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;Truthful;1234.9455500000001;1040.1450679620111;332.45475;2.010583923994084
1;Truthful;1246.2952500000001;1139.6692237666753;345.56465000000003;2.0180749623767533
2;Truthful;1278.13;1218.173041578248;315.67865;2.07584733028273
3;Truthful;1352.525;1165.7649517664356;327.98165;1.8578805383674248
4;Truthful;1293.072;1080.1280266389724;337.70455000000004;2.018765667132998
5;Seller;6404.9678;1550.5152694524356;0;0
