Number of iterations;200;;;;
Reserve;55;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;965.045147602208;885.1412063279051;467.30400239779215;3.1566128290226256
1;PiratesBB;977.3541268158347;892.8974915532004;446.28472318416533;2.7711443229097323
2;PiratesBB;1048.9125275043489;935.5960691616586;459.4544224956512;2.8410246279140643
3;PiratesBB;1055.4452320534274;954.3224298584818;472.1978179465726;2.8259584445114516
4;PiratesBB;1138.6208430133804;928.7084097759429;564.7105569866195;3.1420550919933112
5;Seller;5185.3778769892;1913.9658594440132;0;0
