Number of iterations;200;;;;
Reserve;20;;;;
Seed;;;;;
Agent #;Agent type;Average spent;SD spent;Average Utility;SD Utility
0;PiratesBB;1105.6294791817224;889.9529377290901;611.0078208182777;3.1226102599593624
1;PiratesBB;986.2901227168605;866.5697010802457;605.8980272831395;2.964367955558156
2;PiratesBB;1070.2288159490813;924.6132404292396;530.4971840509187;2.8114209188164834
3;PiratesBB;1030.4222403893114;888.3291359234925;554.4189596106887;2.9174907659121327
4;PiratesBB;914.8716195165225;829.5345731921468;530.0575804834775;3.0205016406800227
5;Seller;5107.442277753499;1569.0668251273596;0;0
